rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,中山美穗在浴缸中去世,2185472,艺人,1,,#中山美穗在浴缸中去世#,https://s.weibo.com/weibo?q=中山美穗在浴缸中去世,2024-12-06 16:25:57
1,正豪大大鸡排关闭中国大陆所有门店,1040756,民生新闻,1,,#正豪大大鸡排关闭中国大陆所有门店#,https://s.weibo.com/weibo?q=正豪大大鸡排关闭中国大陆所有门店,2024-12-06 16:25:57
2,大雪一落地就成了诗,85550,情感,1,,#大雪一落地就成了诗#,https://s.weibo.com/weibo?q=大雪一落地就成了诗,2024-12-06 16:25:57
2,25万级问界新M7有多超值,,,1,,,https://s.weibo.com/weibo?q=25万级问界新M7有多超值,2024-12-06 16:25:57
3,疑照片被曝光女孩屡次放火骚扰邻居,881322,民生新闻,1,,#疑照片被曝光女孩屡次放火骚扰邻居#,https://s.weibo.com/weibo?q=疑照片被曝光女孩屡次放火骚扰邻居,2024-12-06 16:25:57
4,花少从9.3到3.9,698132,综艺,1,综艺,#花少从9.3到3.9#,https://s.weibo.com/weibo?q=花少从9.3到3.9,2024-12-06 16:25:57
5,哥伦比亚一机库发现约2万具尸体,633706,国际时政,1,,#哥伦比亚一机库发现约2万具尸体#,https://s.weibo.com/weibo?q=哥伦比亚一机库发现约2万具尸体,2024-12-06 16:25:57
5,原来比赛也能有攻略手册,,,1,,,https://s.weibo.com/weibo?q=原来比赛也能有攻略手册,2024-12-06 16:25:57
6,孟子义人脉,670533,剧集,1,剧集,#孟子义人脉#,https://s.weibo.com/weibo?q=孟子义人脉,2024-12-06 16:25:57
7,虞书欣怎么了,670453,艺人,1,,#虞书欣怎么了#,https://s.weibo.com/weibo?q=虞书欣怎么了,2024-12-06 16:25:57
8,韩国首都防卫司令官被停职,152170,国际时政,1,,#韩国首都防卫司令官被停职#,https://s.weibo.com/weibo?q=韩国首都防卫司令官被停职,2024-12-06 16:25:57
9,中方今年已8次反制美对台军售,55531,国内时政,1,,#中方今年已8次反制美对台军售#,https://s.weibo.com/weibo?q=中方今年已8次反制美对台军售,2024-12-06 16:25:57
10,小楚乔长大演了大楚乔,617862,剧集,1,剧集,#小楚乔长大演了大楚乔#,https://s.weibo.com/weibo?q=小楚乔长大演了大楚乔,2024-12-06 16:25:57
11,孙悦公开和科比往事,561635,体育,1,,#孙悦公开和科比往事#,https://s.weibo.com/weibo?q=孙悦公开和科比往事,2024-12-06 16:25:57
12,楚乔传2开机,467315,剧集,0,剧集,楚乔传2开机,https://s.weibo.com/weibo?q=楚乔传2开机,2024-12-06 16:25:57
13,被虐致死女童曾两天不吃不睡,213575,民生新闻,1,,#被虐致死女童曾两天不吃不睡#,https://s.weibo.com/weibo?q=被虐致死女童曾两天不吃不睡,2024-12-06 16:25:57
14,李宇春清唱春风十里,71198,综艺,0,综艺,李宇春清唱春风十里,https://s.weibo.com/weibo?q=李宇春清唱春风十里,2024-12-06 16:25:57
15,王亚飞给周也化的冬日暖调妆,49891,"艺人,综艺",1,,#王亚飞给周也化的冬日暖调妆#,https://s.weibo.com/weibo?q=王亚飞给周也化的冬日暖调妆,2024-12-06 16:25:57
16,琼瑶65年完成70多部作品,15128,"艺人,读书作家",1,,#琼瑶65年完成70多部作品#,https://s.weibo.com/weibo?q=琼瑶65年完成70多部作品,2024-12-06 16:25:57
17,甘肃高三女生酒后被强奸案今日开庭,81483,民生新闻,1,,#甘肃高三女生酒后被强奸案今日开庭#,https://s.weibo.com/weibo?q=甘肃高三女生酒后被强奸案今日开庭,2024-12-06 16:25:57
18,反复咳嗽怎样才能好得快,47706,健康医疗,1,,#反复咳嗽怎样才能好得快#,https://s.weibo.com/weibo?q=反复咳嗽怎样才能好得快,2024-12-06 16:25:57
19,妈妈按天给大学生女儿发50元生活费,453172,民生新闻,1,,#妈妈按天给大学生女儿发50元生活费#,https://s.weibo.com/weibo?q=妈妈按天给大学生女儿发50元生活费,2024-12-06 16:25:57
